------------------------------------------
Baseline:
Word Error Rate = 10.096022260742634
Known Word WER = 8.392027224112786
Unknown Word WER = 83.86933827243644
	NN	NNS	JJ	PDT	IN	VB	WDT	JJS	PRP	VBP	RB	VBN	VBG	RP	UH	NNP	VBD	RBR	NNPS	LS	POS	VBZ	PRP$	CD	JJR	DT	FW	CC	EX	RBS	WP	MD	SYM	$
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.581014505975732
Known Word WER = 3.6449197860962568
Unknown Word WER = 45.10860414211147
	JJ	NNS	IN	VBD	VBN	NNP	NN	PRP	RB	VBG	WDT	VB	DT	PDT	RP	JJR	NNPS	RBR	PRP$	FW	VBP	CD	VBZ	EX	CC	RBS	POS	JJS	WP	''	MD	UH	SYM	LS
NNP	2.63	0.32	0.06	0.00	0.10	-	1.99	-	0.11	0.07	-	0.12	0.11	-	-	-	1.99	-	-	0.44	0.00	0.28	0.01	-	-	-	-	-	-	-	-	-	-	-
VBZ	0.08	1.17	-	0.14	0.04	0.34	0.14	-	-	0.08	-	0.04	-	-	-	-	0.00	-	-	-	0.08	0.04	-	-	-	-	0.14	-	-	-	-	-	-	-
NN	6.82	0.73	0.04	0.09	0.15	5.81	-	0.04	0.23	1.36	-	0.58	0.00	0.00	0.00	0.00	-	-	-	0.12	0.24	0.42	0.02	-	0.00	-	-	-	-	-	0.01	0.00	0.00	-
RP	-	-	0.56	-	-	0.00	-	-	0.32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	3.09	0.02	-	3.10	-	0.32	0.38	-	0.00	0.07	-	0.17	-	-	-	-	-	-	-	-	0.03	0.11	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.09	0.00	0.00	0.09	0.08	0.09	0.73	-	0.02	0.01	-	2.17	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
NNS	0.95	-	-	0.01	0.11	2.46	2.73	-	0.03	0.03	-	0.02	-	-	-	-	0.43	-	-	0.09	0.02	0.19	0.68	-	-	-	-	-	-	-	-	0.00	-	-
JJ	-	0.04	0.15	0.06	1.85	3.55	3.20	0.02	1.56	0.38	-	0.27	-	0.14	0.07	0.03	-	0.02	-	0.13	0.11	0.55	-	-	-	-	-	0.03	-	-	-	0.01	-	0.02
RB	1.46	0.03	3.25	0.01	0.14	0.45	0.55	-	-	0.03	-	0.11	0.16	-	1.53	0.05	-	0.39	-	-	0.03	0.02	0.00	0.08	0.05	-	-	0.01	-	-	-	0.03	-	-
VB	0.21	-	0.02	0.09	0.12	0.28	0.84	-	0.04	0.06	-	-	-	-	-	0.04	-	0.00	-	0.01	1.78	0.15	-	-	-	-	-	-	-	-	-	0.02	-	-
DT	0.03	-	0.63	-	-	0.03	0.11	-	0.41	0.00	0.53	-	-	0.30	-	-	-	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-	-
IN	0.20	-	-	-	-	0.09	0.03	-	2.92	0.02	0.15	0.00	0.39	-	2.09	-	-	-	-	0.09	0.01	-	-	-	0.01	-	-	-	-	-	-	-	-	-
NNPS	0.09	0.38	-	-	0.00	1.39	0.16	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.24	-	-	-	4.05	0.29	0.22	-	-	0.08	-	0.12	-	-	-	-	-	-	-	0.00	0.09	0.02	0.06	-	-	-	-	-	-	-	0.01	-	-	-
CD	1.45	0.19	-	-	0.07	0.80	0.68	0.07	-	0.04	-	0.11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00
VBG	1.37	-	-	0.01	0.15	0.46	2.04	-	0.01	-	-	0.06	-	-	-	-	-	-	-	0.01	0.06	0.14	0.01	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	0.02	-	-	0.01	0.01	-	0.07	-	-	-	0.08	0.01	-	0.01	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	0.09	-	-	-	0.01	0.09	0.03	-	0.01	-	-	-	-	-	-	-	-	0.67	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	0.00	-	-	-	0.03	0.03	-	-	-	-	-	0.00	-	-	-	-	-	0.11	0.00	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-
RBR	0.00	-	-	-	-	0.00	0.00	-	0.24	-	-	0.00	-	-	-	0.96	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	0.01	-	0.43	-	-	0.00	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.07	-	-	-	-	-
JJS	0.10	-	-	-	0.00	-	0.04	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.24	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	0.00	-	0.00	-	0.00	0.09	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-
MD	-	0.00	-	0.01	-	0.05	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.26	-	-	-	-	-	-	0.00	-	-	-	-
UH	0.00	-	-	-	0.00	0.01	0.02	-	0.03	-	-	0.00	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
EX	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
#	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.32	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-
VBN|VBD	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	0.00	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-
MD|VB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|VBN	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-
IN|JJ	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TO	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	-	-	-	-	-	0.00	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-
``	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NNP	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
