------------------------------------------
Baseline:
Word Error Rate = 10.73813974479701
Known Word WER = 8.494625386199795
Unknown Word WER = 84.45513667847511
	NN	WDT	JJ	RBS	VBD	VB	VBP	RBR	VBZ	POS	RB	NNP	PDT	NNPS	IN	UH	VBG	RP	NNS	VBN	EX	CD	LS	JJS	PRP	DT	FW	PRP$	JJR	CC	MD	WP	TO	$	SYM
EX	-	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.00	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	0.00	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	0.00	0.00	0.00	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	0.00	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	0.01	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	0.00	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD|VB	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	0.00	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|IN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|VBN	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|VBZ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN|JJ	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
WP	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|DT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.967572573252566
Known Word WER = 3.77832131822863
Unknown Word WER = 44.04377941098715
	NNP	IN	RB	NN	JJ	VBD	NNPS	VBN	VB	VBG	RP	CD	NNS	VBP	WDT	PRP	DT	RBS	PDT	JJR	VBZ	RBR	PRP$	UH	JJS	FW	POS	CC	MD	WP	TO	EX	SYM	LS	''	,
VBG	0.52	-	0.00	1.91	1.43	0.07	-	0.26	0.14	-	-	0.10	0.01	0.05	-	-	-	-	-	-	0.01	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-
DT	0.02	0.68	0.46	0.07	0.03	-	-	-	-	0.00	-	-	-	-	0.44	0.00	-	-	0.26	-	-	-	-	0.00	-	-	-	0.09	-	-	-	-	-	0.00	-	-
UH	0.05	-	0.02	0.00	0.01	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
VBZ	0.33	-	-	0.21	0.14	0.27	0.00	0.03	0.06	0.05	-	0.02	1.10	0.09	-	-	-	-	-	-	-	-	-	-	-	0.00	0.22	-	-	-	-	-	-	0.00	-	-
VBN	0.39	-	0.01	0.41	2.76	2.77	-	-	0.13	0.13	-	0.08	0.04	0.02	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.34	0.01	0.03	0.89	0.27	0.14	-	0.21	-	0.05	0.00	0.25	0.00	1.71	-	-	0.00	-	-	0.02	0.00	0.00	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-
NN	5.75	0.01	0.17	-	6.73	0.08	-	0.22	0.51	1.33	0.00	0.38	0.72	0.20	0.00	0.07	0.00	-	0.00	0.00	0.04	-	-	0.06	0.00	0.07	-	0.00	0.02	-	0.00	-	0.00	0.00	-	0.00
JJ	3.41	0.13	1.37	3.00	-	0.08	-	1.92	0.28	0.46	0.05	0.65	0.11	0.05	-	0.00	0.02	-	0.12	0.01	0.00	0.01	-	0.09	0.01	0.05	-	-	-	-	-	-	-	-	-	-
NNP	-	0.03	0.12	2.21	2.81	0.03	1.96	0.12	0.12	0.05	0.00	0.34	0.39	0.01	-	0.00	0.15	0.00	-	0.00	0.01	-	0.00	0.07	0.00	0.26	0.01	0.00	0.00	-	-	-	0.00	0.01	-	-
WDT	0.00	0.36	-	-	0.01	0.00	-	-	0.00	-	-	0.00	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-
NNS	2.56	-	0.06	2.92	0.85	0.02	0.40	0.20	0.04	0.02	-	0.17	-	0.02	-	-	-	-	-	-	0.64	-	-	0.01	-	0.01	-	-	-	-	-	-	-	0.00	-	-
VBD	0.35	-	-	0.25	0.23	-	-	3.96	0.15	0.07	-	0.02	0.00	0.13	-	-	-	-	-	-	0.03	-	-	0.00	-	-	-	-	0.01	-	-	-	-	-	-	-
RP	-	0.62	0.43	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.18	0.01	0.02	0.75	0.10	0.18	-	0.08	2.11	0.00	-	0.01	0.01	-	-	0.00	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	0.49	3.05	-	0.57	1.48	0.02	-	0.16	0.07	0.02	1.43	0.04	0.03	0.03	0.00	-	0.19	-	0.03	0.03	0.00	0.41	-	0.03	0.01	0.01	-	0.05	-	-	-	0.08	-	-	-	-
IN	0.10	-	2.45	0.01	0.18	0.00	-	-	0.01	0.03	2.08	0.00	-	0.00	0.24	-	0.55	-	-	-	-	-	-	-	-	0.05	-	0.05	-	-	0.00	-	-	-	-	-
CD	0.93	-	0.00	0.56	1.60	0.00	-	0.05	0.14	0.05	-	-	0.20	0.00	-	0.06	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.02	-	-
JJS	0.01	-	0.00	0.02	0.11	0.00	-	-	-	-	-	-	0.00	-	-	-	-	0.23	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	0.06	-	0.03	0.01	0.13	-	-	0.02	0.00	-	-	0.00	0.00	0.00	-	-	-	-	-	-	-	0.69	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
CC	0.00	0.03	0.11	-	-	-	-	-	-	-	-	-	0.01	-	-	-	0.07	-	0.03	-	-	0.02	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
FW	0.12	0.01	-	0.03	0.02	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	0.01	-	-	-	-	0.00	-	-	-
RBR	0.00	-	0.20	0.00	0.03	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	0.92	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
PRP	0.03	-	-	0.02	0.01	-	-	-	-	-	-	0.01	0.00	-	-	-	-	-	-	-	0.00	-	0.09	-	-	-	0.00	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-
MD	0.03	-	-	0.00	-	0.01	-	-	-	0.00	-	-	0.00	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
#	0.00	-	-	-	-	-	-	-	-	-	-	0.28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	1.29	-	-	0.14	0.11	-	-	0.01	-	-	-	0.00	0.34	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	0.19	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-
SYM	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
EX	-	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.00	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	0.00	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	0.00	0.00	0.00	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	0.00	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	0.01	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	0.00	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD|VB	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	0.00	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|IN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|VBN	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|VBZ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN|JJ	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
WP	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|DT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
