------------------------------------------
Baseline:
Word Error Rate = 10.432809590817198
Known Word WER = 8.161781938646886
Unknown Word WER = 84.11426222770243
	NNS	VBP	NN	RB	VBD	VB	UH	JJR	RBR	VBZ	POS	WDT	LS	NNPS	RBS	VBG	RP	JJ	PDT	PRP	VBN	EX	JJS	DT	NNP	IN	CC	FW	CD	PRP$	MD	SYM	WP	,
LS	0.00	-	0.02	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.12	-	-	-	-	-
EX	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	0.00	-	0.04	0.00	-	0.00	-	-	0.00	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.17	-	-	-	-	-	-	-	-	-	0.00	-	-
NN|JJ	0.02	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	-	-	-	-	-	0.00	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	0.00	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|JJR	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD|VB	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|JJ	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TO	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBP	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|VBZ	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN|JJ	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|VBG	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NNP	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|CD	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|POS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.97237908552959
Known Word WER = 3.7463657496848732
Unknown Word WER = 44.74928072338676
	JJ	NNS	NNP	VBP	UH	RB	JJR	IN	VBD	NNPS	CD	VB	VBG	NN	RP	WDT	PRP	DT	VBN	PDT	FW	RBR	VBZ	PRP$	POS	SYM	RBS	CC	EX	JJS	WP	LS	''	MD	,
NN	6.46	0.79	6.20	0.21	0.00	0.16	0.00	0.03	0.10	-	0.37	0.54	1.22	-	0.00	-	0.05	0.02	0.20	0.01	0.15	0.00	0.04	-	-	0.00	-	0.00	-	-	-	0.00	-	0.01	-
VBZ	0.17	1.17	0.33	0.08	-	0.00	-	-	0.29	-	0.04	0.08	0.06	0.18	-	-	-	-	0.02	-	0.00	-	-	-	0.16	-	-	-	-	-	-	-	-	-	-
RB	1.60	0.03	0.64	0.02	0.03	-	0.02	2.95	0.01	-	0.05	0.08	0.02	0.67	1.46	-	-	0.19	0.14	0.03	0.00	0.33	0.01	-	-	-	0.00	0.06	0.07	0.01	-	-	-	-	-
VBN	2.96	0.05	0.40	0.01	0.00	0.01	-	-	2.89	-	0.12	0.13	0.10	0.40	-	-	-	-	-	-	0.02	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.23	-	0.36	1.76	0.00	0.03	0.03	0.02	0.12	-	0.18	-	0.05	0.87	0.00	-	-	-	0.16	-	0.00	0.00	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-
UH	0.00	-	0.06	0.00	-	0.04	-	-	-	-	-	-	-	0.01	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	0.00	-	-	0.43	-	0.55	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.11	0.00	0.11	-	-	0.00	0.00	0.00	0.22	-	0.01	1.95	0.03	0.77	-	-	0.00	0.00	0.06	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-
NNP	2.93	0.30	-	0.03	0.01	0.09	-	0.05	0.04	1.75	0.39	0.05	0.04	2.07	-	-	0.00	0.15	0.15	-	0.29	-	0.01	0.00	0.01	-	0.00	0.00	-	0.00	-	-	-	0.00	0.00
DT	0.03	0.00	0.03	-	-	0.36	-	0.62	-	-	-	-	0.00	0.08	-	0.47	0.00	-	-	0.27	0.00	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-
JJ	-	0.10	3.34	0.07	0.00	1.35	0.01	0.15	0.11	-	0.63	0.19	0.45	2.93	0.04	-	0.00	0.01	1.80	0.13	0.12	0.01	0.00	0.00	-	-	-	0.00	-	0.00	-	-	-	-	-
IN	0.18	-	0.06	0.02	-	2.62	-	-	0.01	-	-	0.00	0.03	0.00	1.84	0.24	-	0.52	-	-	0.04	-	0.00	-	-	0.00	-	0.05	-	-	-	-	-	-	-
NNS	0.89	-	2.54	0.02	-	0.05	-	-	0.02	0.35	0.19	0.02	0.01	2.97	-	-	-	-	0.14	-	0.06	-	0.62	-	-	-	-	-	-	-	-	-	-	-	-
VBG	1.40	0.01	0.54	0.06	-	0.00	-	-	0.08	-	0.14	0.11	-	2.01	-	-	-	-	0.28	-	0.02	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	0.12	0.49	1.31	-	-	0.00	-	-	0.00	-	0.01	-	-	0.16	-	-	-	-	0.02	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.21	0.00	0.38	0.12	0.00	0.00	-	0.00	-	-	0.03	0.16	0.06	0.25	-	-	-	-	3.78	-	0.00	0.00	0.06	-	-	-	-	-	-	-	-	-	-	0.00	-
CD	1.93	0.23	0.95	0.02	-	0.00	-	-	0.00	-	-	0.10	0.04	0.57	-	-	0.05	0.00	0.08	-	0.00	-	0.00	-	-	-	-	-	-	-	-	0.01	-	-	-
JJR	0.11	0.00	0.04	0.00	-	0.04	-	-	-	-	-	0.00	-	0.02	-	-	-	-	0.01	-	-	0.71	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	0.00	0.01	0.00	0.00	-	0.08	0.00	0.00	-	-	0.00	-	-	0.00	-	-	-	0.04	-	0.03	0.00	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	0.02	0.00	0.14	-	-	0.00	-	0.02	-	-	0.00	-	-	0.04	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
PRP	0.00	0.00	0.03	-	-	-	-	-	-	-	0.03	-	-	0.04	-	-	-	0.00	-	-	0.00	-	0.00	0.10	0.00	-	-	-	-	-	-	-	-	-	-
RBR	0.01	-	0.00	-	-	0.23	0.85	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-	-	-
JJS	0.11	0.00	0.00	-	-	0.00	0.00	-	0.00	-	0.00	-	-	0.03	-	-	-	-	0.00	-	-	0.00	-	-	-	-	0.17	-	-	-	-	-	-	-	-
#	-	-	0.00	-	-	-	-	-	-	-	0.27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	0.01	-	0.00	-	-	0.00	-	0.35	-	-	0.00	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-
SYM	-	-	0.01	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
LS	0.00	-	0.02	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.12	-	-	-	-	-
EX	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	0.00	-	0.04	0.00	-	0.00	-	-	0.00	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.17	-	-	-	-	-	-	-	-	-	0.00	-	-
NN|JJ	0.02	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	-	-	-	-	-	0.00	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	0.00	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|JJR	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD|VB	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|JJ	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TO	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBP	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|VBZ	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN|JJ	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|VBG	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NNP	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|CD	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|POS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
