------------------------------------------
Baseline:
Word Error Rate = 10.56993253135143
Known Word WER = 8.318592877711469
Unknown Word WER = 84.10401593792596
	NN	WDT	JJ	RBS	VB	VBP	JJR	UH	RBR	VBZ	POS	VBD	PDT	IN	VBG	RP	PRP	VBN	RB	NNP	EX	CD	LS	NNPS	CC	NNS	PRP$	FW	JJS	DT	MD	WP	NPS	SYM	TO	$
RB|RP	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.00	-	-	0.00	0.01	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	0.00	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	0.00	-	-	-	0.00	-	0.00	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	0.00	0.00	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	0.01	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP$	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|JJ	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN|JJ	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|POS	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 5.017630311676499
Known Word WER = 3.7829734093951544
Unknown Word WER = 45.34444793960365
	NNP	IN	RB	NN	JJ	JJR	VBD	VBN	VB	VBG	RP	WDT	NNS	CD	VBP	FW	NNPS	RBS	DT	PDT	VBZ	PRP$	JJS	RBR	POS	CC	''	EX	LS	NPS	WP	PRP	UH	MD	SYM	TO	,
VBG	0.48	-	0.00	1.95	1.35	-	0.06	0.25	0.09	-	-	-	0.00	0.11	0.06	0.00	-	-	-	-	0.01	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
DT	0.02	0.60	0.33	0.08	0.03	-	-	-	-	0.00	-	0.45	-	-	-	0.00	-	-	-	0.25	-	-	-	-	-	0.09	-	-	-	-	-	0.00	0.00	-	-	-	-
UH	0.03	-	0.04	0.02	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
VBZ	0.33	-	-	0.18	0.16	-	0.33	0.02	0.04	0.07	-	-	1.25	0.04	0.05	0.01	0.00	-	-	-	-	-	-	-	0.21	-	-	-	-	0.00	-	-	-	-	-	-	-
VBN	0.49	-	0.01	0.40	2.66	-	2.83	-	0.18	0.11	-	-	0.02	0.09	0.03	0.01	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
VB	0.30	0.02	0.05	0.84	0.20	0.01	0.10	0.16	-	0.07	-	-	0.00	0.18	1.56	0.02	-	-	0.00	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-
NN	5.74	0.02	0.14	-	7.03	0.00	0.10	0.19	0.53	1.31	0.00	0.00	0.75	0.41	0.22	0.15	-	-	0.00	0.01	0.04	-	0.00	-	-	0.00	-	-	0.00	0.01	-	0.03	0.00	0.01	-	-	0.00
RB	0.63	2.77	-	0.68	1.42	0.04	0.01	0.14	0.12	0.02	1.54	0.00	0.02	0.03	0.08	0.03	-	0.00	0.19	0.02	0.00	-	0.01	0.39	-	0.04	-	0.08	0.00	0.01	-	-	0.02	-	-	-	-
RP	0.00	0.66	0.36	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	0.01	0.38	0.00	-	0.01	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-
NNS	2.72	-	0.04	2.91	0.85	-	0.04	0.20	0.04	0.01	-	-	-	0.16	0.02	0.08	0.49	-	-	-	0.66	-	-	-	-	-	-	-	0.01	0.02	-	-	0.00	-	-	-	-
VBD	0.34	-	-	0.26	0.20	-	-	3.76	0.16	0.09	-	-	0.00	0.02	0.09	0.00	-	-	-	-	0.02	-	-	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-
VBP	0.13	0.01	0.00	0.79	0.09	0.00	0.22	0.09	2.12	0.02	0.00	-	0.00	0.01	-	0.00	0.00	-	0.00	-	0.02	-	-	-	-	0.00	-	-	0.00	0.00	-	0.00	-	-	-	-	-
JJ	3.18	0.12	1.40	2.84	-	0.01	0.11	1.66	0.24	0.47	0.05	-	0.09	0.54	0.10	0.16	-	-	0.01	0.13	0.00	-	0.02	0.01	-	0.00	-	-	0.02	0.02	-	-	0.01	-	-	0.00	-
IN	0.05	-	2.44	0.01	0.19	-	-	-	0.00	0.02	2.02	0.19	-	0.00	0.00	0.05	-	-	0.53	-	-	-	-	-	-	0.04	-	-	0.00	-	-	-	-	-	0.00	0.00	-
NNP	-	0.07	0.09	2.25	3.10	0.00	0.03	0.08	0.11	0.03	-	-	0.32	0.32	0.02	0.47	1.85	0.00	0.15	-	0.03	0.01	0.00	-	0.01	0.00	-	-	0.06	0.02	-	0.00	0.00	0.00	-	-	-
CD	1.06	-	0.00	0.53	1.87	-	-	0.09	0.13	0.04	-	-	0.23	-	0.01	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.02	-	-	0.04	-	-	-	-	-
JJS	0.00	-	0.00	0.02	0.07	0.00	-	0.00	-	-	-	-	0.00	0.00	0.00	-	-	0.24	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	0.01	0.02	0.09	0.02	0.00	0.00	-	-	-	0.00	-	-	0.00	0.00	-	-	-	-	0.08	0.03	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	0.00	0.00	0.22	-	0.01	0.87	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	0.03	-	-	0.04	0.00	-	-	-	-	-	-	-	0.00	0.02	-	0.00	-	-	-	-	0.00	0.09	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.11	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-
PRP$	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-
JJR	0.04	-	0.01	0.02	0.13	-	-	0.01	0.00	-	-	-	0.00	0.00	0.00	-	-	-	-	-	-	-	-	0.70	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-
#	0.01	-	-	-	-	-	-	-	-	-	-	-	-	0.23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	0.03	-	0.00	0.00	0.00	-	0.01	-	-	0.00	-	-	0.00	-	0.01	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	1.42	-	0.00	0.19	0.09	-	0.00	0.01	0.00	-	-	-	0.39	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	-	-	0.00	-	-	-	-
RBS	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EX	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	0.09	0.01	-	0.04	0.02	-	0.00	0.00	-	-	-	-	0.00	0.00	0.00	-	-	-	0.00	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	0.00	-	-
LS	0.01	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-
SYM	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	0.01	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	0.00	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	0.01	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.00	-	-	0.00	0.01	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	0.00	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	0.00	-	-	-	0.00	-	0.00	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	0.00	0.00	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	0.01	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP$	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|JJ	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN|JJ	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|POS	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
