------------------------------------------
Baseline:
Word Error Rate = 9.99745813872208
Known Word WER = 8.278409414135831
Unknown Word WER = 84.40028139289483
	RP	RB	PDT	JJ	VB	EX	VBG	NN	IN	LS	WDT	POS	VBP	VBZ	VBN	RBR	CC	VBD	RBS	NNS	UH	NNP	NNPS	FW	CD	DT	JJR	JJS	PRP$	TO	MD	NPS	WP	PRP
VB|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.550726019127506
Known Word WER = 3.643264065534868
Unknown Word WER = 43.82694336967992
	NNS	RP	IN	WDT	NN	VBN	RB	VBD	NNP	JJ	PDT	CD	DT	JJR	VB	VBG	NNPS	VBZ	FW	PRP	VBP	RBR	UH	EX	RBS	CC	JJS	POS	NPS	PRP$	TO	LS	:	MD	WP	''	SYM
VBZ	1.03	-	-	-	0.13	0.04	-	0.22	0.40	0.10	-	0.06	-	-	0.03	0.09	0.01	-	-	-	0.05	-	-	-	-	-	-	0.19	-	-	-	-	-	-	-	-	-
IN	-	1.92	-	0.22	0.00	-	2.64	-	0.03	0.12	-	-	0.54	-	-	0.01	-	-	0.06	-	0.01	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-	-
RB	0.01	1.64	3.38	-	0.68	0.10	-	0.01	0.48	1.51	0.02	0.00	0.15	0.06	0.03	0.03	-	-	-	-	0.04	0.39	0.04	0.04	-	0.09	0.02	-	0.00	-	-	-	-	-	-	-	-
DT	0.00	-	0.58	0.63	0.04	-	0.48	-	0.01	0.04	0.27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-	-
VB	-	0.00	0.04	-	0.96	0.16	0.06	0.10	0.26	0.21	-	0.13	0.00	0.04	-	0.05	-	-	0.00	-	1.73	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.00	-	-	-	0.24	4.22	-	-	0.31	0.16	-	0.00	-	-	0.20	0.03	-	0.02	0.01	-	0.12	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
VBN	0.01	-	-	-	0.39	-	0.01	3.00	0.29	3.01	-	0.09	-	-	0.11	0.12	-	0.01	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	0.31	-	-	-	0.68	0.04	-	-	0.96	1.63	-	-	0.00	-	0.10	0.02	-	-	-	0.05	0.02	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-
JJ	0.09	0.03	0.19	-	3.11	1.94	1.68	0.13	3.08	-	0.08	0.53	0.02	0.01	0.21	0.50	-	0.00	0.10	-	0.09	0.00	0.01	-	-	-	0.02	-	0.02	0.00	-	-	-	-	-	-	-
NNS	-	-	-	-	2.39	0.10	0.03	0.01	2.49	0.82	-	0.15	-	-	0.03	-	0.54	0.63	0.06	-	0.02	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-
VBG	-	-	-	-	2.00	0.11	-	0.04	0.51	1.38	-	0.13	-	-	0.10	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNP	0.28	0.00	0.04	-	2.08	0.04	0.13	0.00	-	2.62	-	0.30	0.13	-	0.07	0.04	2.18	0.02	0.36	-	0.05	-	0.00	-	-	0.00	-	0.01	-	0.00	-	0.05	-	-	-	-	-
RP	-	-	0.67	-	-	-	0.39	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	0.02	-	0.04	-	-	-	0.20	0.02	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN	0.70	0.00	0.04	-	-	0.12	0.16	0.05	5.53	6.76	0.01	0.43	-	0.01	0.63	1.44	-	0.02	0.13	0.03	0.27	-	0.00	-	-	-	-	-	-	-	0.00	-	-	0.01	-	-	-
VBP	0.01	-	0.01	-	0.67	0.14	0.00	0.16	0.11	0.07	-	-	-	-	2.16	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
RBR	-	-	0.00	-	-	-	0.23	-	0.00	0.02	-	-	-	1.07	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	0.00	-	0.03	-	-	-	0.11	-	-	-	0.02	-	0.06	0.00	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-
PRP$	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	0.34	-	-	-	-	-	-	0.01	-	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-
JJR	-	-	-	-	0.02	0.00	0.01	-	0.01	0.06	-	0.00	-	-	0.00	-	-	-	-	-	-	0.82	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	-	-	-	-	0.04	-	0.00	-	0.00	0.10	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.29	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	0.01	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
NNPS	0.32	-	-	-	0.15	0.00	-	-	1.44	0.12	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-	-
PRP	-	-	-	-	0.05	-	-	-	0.04	0.00	-	0.00	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	0.02	-	0.07	-	-	-	-	-	-	-
WP	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	-	-	-	0.00	0.07	-	-	-	-	-	-	0.01	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
#	-	-	-	-	-	-	-	-	-	-	-	0.23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	0.00	-	-	-	-
NN|NNS	0.00	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	0.00	-	-	-	-	0.02	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EX	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	-	-	-	-	0.00	-	0.04	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|IN	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|VBN	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	0.00	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00
JJ|NN	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
JJ|RB	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
